                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.89976,                0.47236,                0.93083,                0.92922,                0.91035,                0.97009,                0.72714,                0.97893,                0.49871,                 0.9704,               0.000538,               0.000538,               0.000538
                     37,                0.88615,                 0.4679,                0.92462,                0.90445,                0.93597,                0.96887,                 0.7359,                0.96768,                0.47381,                 0.9664,              0.0005248,              0.0005248,              0.0005248
                     38,                0.86955,                0.44558,                0.91992,                 0.9165,                0.92546,                0.97355,                0.74075,                0.96371,                0.47917,                0.96449,              0.0005116,              0.0005116,              0.0005116
                     39,                0.87481,                0.46692,                0.91666,                0.91919,                 0.9381,                0.97381,                0.73507,                0.98336,                0.50231,                0.96711,              0.0004984,              0.0004984,              0.0004984
                     40,                0.85721,                0.46358,                0.91715,                0.91704,                0.92023,                0.97232,                0.74291,                0.96598,                0.47099,                0.96882,              0.0004852,              0.0004852,              0.0004852
                     41,                0.84993,                 0.4514,                0.91374,                0.93965,                0.89732,                0.97334,                0.74046,                 0.9656,                0.47379,                0.96473,               0.000472,               0.000472,               0.000472
                     42,                0.84444,                0.43857,                0.91118,                0.92287,                0.91936,                0.96964,                0.74201,                0.95241,                0.48499,                0.96011,              0.0004588,              0.0004588,              0.0004588
                     43,                0.85705,                0.44776,                0.91249,                 0.8942,                0.93808,                0.96681,                0.73721,                0.96636,                0.47287,                0.96573,              0.0004456,              0.0004456,              0.0004456
                     44,                0.83249,                0.44255,                0.90841,                0.91605,                0.92956,                0.97041,                0.73691,                0.97509,                 0.4757,                0.97108,              0.0004324,              0.0004324,              0.0004324
                     45,                0.84573,                0.43582,                0.91055,                0.91915,                0.92212,                0.97132,                0.73824,                0.98297,                0.47723,                0.97268,              0.0004192,              0.0004192,              0.0004192
                     46,                0.84327,                0.43366,                0.91553,                0.90503,                 0.9381,                0.96807,                0.73653,                 0.9664,                 0.4753,                0.96743,               0.000406,               0.000406,               0.000406
                     47,                 0.8244,                0.42939,                0.90981,                 0.9037,                0.95091,                0.96423,                 0.7304,                0.95864,                0.47751,                0.96676,              0.0003928,              0.0003928,              0.0003928
                     48,                 0.8242,                0.42849,                0.90851,                0.88401,                0.95165,                0.96835,                0.74056,                0.95928,                0.47529,                0.96178,              0.0003796,              0.0003796,              0.0003796
